name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,,
The Place,Kaan,Uskudar,41.0565,29.05367,Entire home/apt,720,1,1,0.01,365,,
The Bosphorus from The Comfy Hill,Gülder,Besiktas,41.06984,29.04545,Entire home/apt,816,365,41,0.33,279,,
LOVELY APT. IN PERFECT LOCATION,Mutlu,Beyoglu,41.03254,28.98153,Entire home/apt,233,30,13,0.19,289,,
Duplex Apartment with Terrace,Alen,Sisli,41.04471,28.98567,Hotel room,761,3,0,,365,,
Cosy home overlooking Bosphorus,Aydin,Sariyer,41.09048,29.05559,Entire home/apt,823,3,0,,88,,
"↪ Istanbul, Your second house ",Şevki,Beyoglu,41.04844,28.95254,Private room,343,3,0,,364,,
nice home in popular area,Nan,Beyoglu,41.0335,28.97626,Private room,768,1,1,0.01,365,,
Deluxe double bedroom @ Nisantasi,Ozlem,Sisli,41.05382,28.99739,Private room,384,2,1,0.01,364,,
A room in galata beyoglu,Esr,Beyoglu,41.02704,28.97588,Private room,473,1,0,,365,,
Sea View terrace  House,Michel,Beyoglu,41.03658,28.97213,Entire home/apt,459,30,38,0.48,364,,
Cosy Room in Istanbul Center,Sinan,Besiktas,41.04902,28.99829,Private room,514,1,0,,0,,
Örücü Palace / Princess Apartment,Mehmet Ali,Beyoglu,41.02725,28.97718,Entire home/apt,453,5,46,0.39,180,,
Beautiful Studio With A View,Zeyno,Beyoglu,41.03089,28.98054,Private room,926,180,86,0.72,269,,
"COZY, CENTRAL, LOVELY&CHECK OUT THE BATHROOM!*",Zeyno,Beyoglu,41.03082,28.97958,Entire home/apt,322,5,22,0.95,91,,
Kurucesme stunning seaview peacfull Flat,Evrim,Besiktas,41.06464,29.0358,Entire home/apt,514,3,9,0.08,360,,
Double Room in Taksim,Bertan Kemal,Beyoglu,41.03467,28.98902,Private room,343,3,0,,365,,
Charming Apartment in Kuzguncuk,Yesim,Uskudar,41.03485,29.03155,Entire home/apt,459,3,12,0.13,365,,
A room with a view of Bosphorous.,Oz,Fatih,41.01717,28.96325,Private room,384,1,0,,365,,
Prince(Garden Apart),Mehmet Ali,Beyoglu,41.02752,28.97858,Entire home/apt,453,5,27,0.24,180,,
Private  studio bestlocation@Taksim,Engin,Beyoglu,41.0385,28.98189,Entire home/apt,233,28,16,0.16,364,,
1+1 Closed to Taksim Square,Selin,Sisli,41.04693,28.98002,Entire home/apt,240,2,0,,364,,
Central Location Taksim/Cihangir ,Nurten,Beyoglu,41.03442,28.98561,Private room,617,3,0,,0,,
Quiet room in central apartment,Oksan,Beyoglu,41.03638,28.9909,Private room,302,2,74,0.67,364,,
flat with garden'n' terrace taksim,Baris,Beyoglu,41.03343,28.99057,Entire home/apt,212,5,33,0.30,0,,
Gümüşsuyu Apartment,Gumussuyu,Beyoglu,41.03656,28.98873,Entire home/apt,768,3,0,,365,,
Nisantasi Studio Apartment,Nisantasi,Sisli,41.05018,28.99015,Entire home/apt,1070,2,0,,364,,
Wonderful room with Historical View,Alev,Beyoglu,41.03326,28.97876,Private room,206,2,86,0.77,365,,
Bosphorus Views,Selcuk,Beyoglu,41.02945,28.97404,Entire home/apt,501,3,0,,0,,
❛Cozy • Clean • Central • Room❜,Guliz,Beyoglu,41.03082,28.98053,Private room,117,2,68,0.63,365,,
Kurucesme design amazing seaview  forest room,Evrim,Besiktas,41.06341,29.0364,Private room,137,2,6,0.06,364,,
Cihangir Connection,Hasan,Beyoglu,41.03103,28.984,Entire home/apt,343,2,3,0.09,365,,
Blue Mosque View in Sultanahmet,Fernando,Fatih,41.0063,28.97916,Entire home/apt,686,3,75,0.74,350,,
Beautiful Artist's home staycation,Dev,Beyoglu,41.03277,28.98822,Entire home/apt,425,3,18,0.21,157,,
"Beautiful room in an Artist's home, staycation",Dev,Beyoglu,41.03249,28.99102,Private room,206,3,171,1.56,157,,
"View, Kid-friendly, Central @Taksim",Secil,Beyoglu,41.03625,28.99129,Entire home/apt,377,4,28,0.29,365,,
Room in a modern home.,Efe,Kadikoy,40.97618,29.04442,Private room,343,1,1,0.01,365,,
Flat with super Golden Horn view,Chris,Beyoglu,41.03398,28.97297,Entire home/apt,542,3,26,0.24,172,,
Eveything you need - as you wish,Nurhan,Kagithane,41.06496,28.95651,Entire home/apt,1028,2,0,,364,,
Single private room in shared flat,Ali,Beyoglu,41.02893,28.9779,Private room,89,20,27,0.25,365,,
warm family place ..,Cengiz,Kadikoy,40.98242,29.05151,Private room,446,1,0,,365,,
Entire Flat at Cihangir/Taksim,Juliet,Beyoglu,41.03282,28.98537,Entire home/apt,823,1,0,,365,,
flat in galata 150sqm fantastic vue,Paskal,Beyoglu,41.02543,28.97535,Entire home/apt,521,4,36,1.32,0,,
Entire house in central Kadikoy,Deniz,Kadikoy,40.98373,29.02865,Entire home/apt,343,4,8,0.07,362,,
Penthouse in Taxim -with 2 bedrooms,Damir,Beyoglu,41.03577,28.9773,Entire home/apt,384,3,129,1.18,148,,
(-55%)28nts in may 300€:Best LocationDuplex@Taksim,Engin,Beyoglu,41.03895,28.98387,Entire home/apt,343,15,8,0.11,365,,
Beautiful & Super Deluxe Flat,Lily,Sisli,41.04753,28.9803,Private room,411,1,0,,365,,
Friendly Family Home,Enathol,Adalar,40.87171,29.1291,Private room,686,1,0,,365,,
King Suite Studio  Near Taksim Square,Murat,Beyoglu,41.03767,28.98219,Private room,425,1,0,,365,,
"""Homeinİstanbul"" wGreat Location",Neslihan,Beyoglu,41.03224,28.98714,Entire home/apt,274,3,13,0.12,173,,
Nice flat in historical Galata ,Cigdem,Beyoglu,41.02622,28.97488,Entire home/apt,960,6,1,0.01,365,,
Fully furnished bosphorus view,Belgin,Sariyer,41.16308,29.03753,Private room,891,3,0,,0,,
Ottoman Flat 2BR @Taksim Square,Aslinaz,Beyoglu,41.03614,28.98163,Entire home/apt,686,2,36,0.35,362,,
Apartment in the Heart of the City1,ISlK,Beyoglu,41.03919,28.98266,Entire home/apt,302,2,146,1.65,365,,
Charming Apt City Center Taksim,Maria,Beyoglu,41.03293,28.98853,Entire home/apt,761,2,135,1.26,364,,
Kiptas Seyrantepe Residence Flat,Koray,Maltepe,40.9476,29.16943,Entire home/apt,788,3,0,,364,,
Lovely Gardened House 10 minutes walking to metro,Tuna,Uskudar,41.01694,29.06929,Entire home/apt,343,30,84,0.80,1,,
Nice historical apartment in Galata,Fırat,Beyoglu,41.0278,28.97696,Entire home/apt,1028,7,3,0.03,365,,
at the center of İstanbul..,Kadir,Sisli,41.07005,28.98561,Private room,206,1,0,,365,,
"Bright Room, Great Location...",Neslihan,Beyoglu,41.03237,28.9869,Private room,151,2,38,0.35,267,,
Private room with balcony in shared flat,Ali,Beyoglu,41.02842,28.9779,Private room,117,20,25,0.26,365,,
Single private room in shared flat (Middle room),Ali,Beyoglu,41.02997,28.97612,Private room,89,20,26,0.26,364,,
Nice room with balcony,Tuğba,Uskudar,41.0164,29.01527,Private room,185,1,0,,365,,
"Luxurious, specially designed...!",Taskin,Esenyurt,41.02719,28.68328,Private room,651,1,0,,364,,
08JAN-29MAR/WINTER SUPER DISCOUNT,Shinnosuke,Beyoglu,41.0297,28.97583,Entire home/apt,411,1,99,0.93,178,,
Lovely and Cozy Flat at Cihangir ,Defne,Beyoglu,41.03023,28.98182,Entire home/apt,267,14,2,0.02,365,,
GORGEOUS BOSPHORUS VIEW! COMFY ROOM,Daniele,Beyoglu,41.03506,28.99193,Private room,267,3,10,0.11,268,,
6-Cabin Yacht with A/C,Burchan,Beykoz,41.0787,29.08596,Private room,2935,1,0,,365,,
