name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
The Place,Kaan,Uskudar,41.0565,29.05367,Entire home/apt,554,1,1,0.01,365
The Bosphorus from The Comfy Hill,Gülder,Besiktas,41.06984,29.04545,Entire home/apt,100,30,41,0.38,49
LOVELY APT. IN PERFECT LOCATION,Mutlu,Beyoglu,41.0322,28.98216,Entire home/apt,237,5,2,0.04,228
nice home in popular area,Nan,Beyoglu,41.0335,28.97626,Private room,596,1,1,0.01,365
Deluxe double bedroom @ Nisantasi,Ozlem,Sisli,41.05382,28.99739,Private room,295,2,1,0.02,232
single/double visitors,Mine,Besiktas,41.07687,29.02714,Private room,158,2,10,0.09,363
Bosphorus Turquoise Room! Sea view♡,Tony,Beykoz,41.08765,29.07596,Private room,105,2,11,0.21,180
PETIT HOUSE,Ercan,Besiktas,41.06901,29.03882,Entire home/apt,237,30,8,0.15,357
Sea View terrace  House,Michel,Beyoglu,41.03658,28.97213,Entire home/apt,359,60,37,0.59,339
Örücü Palace / Princess Apartment,Mehmet Ali,Beyoglu,41.02725,28.97718,Entire home/apt,353,5,46,0.45,179
"COZY, CENTRAL, LOVELY&CHECK OUT THE BATHROOM!*",Zeyno,Beyoglu,41.03082,28.97958,Entire home/apt,248,3,6,0.92,56
Kurucesme stunning seaview peacfull Flat,Evrim,Besiktas,41.06486,29.03473,Entire home/apt,395,3,8,0.08,251
Prince(Garden Apart),Mehmet Ali,Beyoglu,41.02752,28.97858,Entire home/apt,353,5,27,0.28,179
Gorgeous Bosphorus View 3BDR Apt with Terrace,Onur,Besiktas,41.04439,29.01266,Entire home/apt,501,30,20,0.24,365
Private  studio bestlocation@Taksim,Engin,Beyoglu,41.0385,28.98189,Entire home/apt,179,28,16,0.19,364
Quiet room in central apartment,Oksan,Beyoglu,41.03704,28.99067,Private room,232,2,74,0.79,364
flat with garden'n' terrace taksim,Baris,Beyoglu,41.03343,28.99057,Entire home/apt,132,90,33,0.36,0
wake up with a gorgeous sea view,Esin,Adalar,40.86947,29.11737,Entire home/apt,322,2,81,0.99,337
Wonderful room with Historical View,Alev,Beyoglu,41.03326,28.97876,Private room,158,2,83,0.88,359
❛Cozy • Clean • Central • Room❜,Guliz,Beyoglu,41.03082,28.98053,Private room,90,2,54,0.59,349
Agan Hotel,Vakif,Fatih,41.01429,28.97836,Private room,385,1,1,0.01,365
(Website hidden by Airbnb) seaview.Next to forest,Evrim,Besiktas,41.06319,29.037,Private room,105,1,6,0.07,262
Cihangir Connection,Hasan,Beyoglu,41.03103,28.984,Entire home/apt,264,2,3,0.2,364
Blue Mosque View in Sultanahmet,Fernando,Fatih,41.00527,28.97851,Entire home/apt,464,3,51,0.6,281
"View, Kid-friendly, Central @Taksim",Secil,Beyoglu,41.03518,28.99216,Entire home/apt,290,4,19,0.24,332
Room in a modern home.,Efe,Kadikoy,40.97618,29.04442,Private room,264,1,1,0.01,365
Flat with super Golden Horn view,Chris,Beyoglu,41.03398,28.97297,Entire home/apt,438,3,7,0.08,0
Single private room in shared flat,Ali,Beyoglu,41.02893,28.9779,Private room,74,10,23,0.25,283
flat in galata 150sqm fantastic vue,Paskal,Beyoglu,41.02658,28.9759,Entire home/apt,406,5,18,1.67,15
Entire house in central Kadikoy,Deniz,Kadikoy,40.98373,29.02865,Entire home/apt,237,4,7,0.08,362
Penthouse in Taxim -with 2 bedrooms,Damir,Beyoglu,41.03577,28.9773,Entire home/apt,295,3,128,1.38,365
(-55%)28nts in may 300€:Best LocationDuplex@Taksim,Engin,Beyoglu,41.03895,28.98387,Entire home/apt,269,15,8,0.15,365
Cosy lovely room in Kadıkoy/Moda,Asiye,Kadikoy,40.98697,29.02771,Private room,185,2,15,0.16,365
"""Homeinİstanbul"" wGreat Location",Neslihan,Beyoglu,41.03224,28.98714,Entire home/apt,211,3,13,0.14,154
Nice flat in historical Galata ,Cigdem,Beyoglu,41.02622,28.97488,Entire home/apt,738,6,1,0.01,365
Ottoman Flat 2BR @Taksim Square,Aslinaz,Beyoglu,41.03614,28.98163,Entire home/apt,533,2,34,0.39,364
Apartment in the Heart of the City1,ISlK,Beyoglu,41.03886,28.98199,Entire home/apt,232,2,119,1.66,358
Lovely Gardened House 10 minutes walking to metro,Tuna,Uskudar,41.01694,29.06929,Entire home/apt,264,4,74,0.84,293
Nice historical apartment in Galata,Fırat,Beyoglu,41.0278,28.97696,Entire home/apt,791,7,3,0.03,365
Great Quality Home-Great Experience,Oktay,Uskudar,41.01602,29.01548,Private room,200,1,35,0.39,365
"Bright Room, Great Location...",Neslihan,Beyoglu,41.03237,28.9869,Private room,116,2,38,0.41,267
Exclusive terrace in Sultanahmet...,Taner,Fatih,41.00341,28.97725,Entire home/apt,395,2,37,0.41,361
"IN THE CENTER OF CIHANGIR, ISTANBUL",Merve,Beyoglu,41.03572,28.98821,Entire home/apt,316,3,30,0.33,359
Private room with balcony in shared flat,Ali,Beyoglu,41.02842,28.9779,Private room,90,10,19,0.24,287
Single private room in shared flat (Middle room),Ali,Beyoglu,41.02997,28.97612,Private room,74,10,21,0.25,232
Single private room(Gray),Ali,Beyoglu,41.02976,28.97604,Private room,63,10,20,0.25,262
Single private room(Indian),Ali,Beyoglu,41.02855,28.97653,Private room,53,10,56,0.62,232
Private room(Violet),Ali,Beyoglu,41.02885,28.97625,Private room,95,10,76,0.85,254
Single private room(Green),Ali,Beyoglu,41.02931,28.97623,Private room,63,10,15,0.19,231
08JAN-29MAR/WINTER SUPER DISCOUNT,Shinnosuke,Beyoglu,41.0297,28.97583,Entire home/apt,316,1,99,1.1,87
Lovely and Cozy Flat at Cihangir ,Defne,Beyoglu,41.03023,28.98182,Private room,211,14,2,0.02,365
Single private room(Orange),Ali,Beyoglu,41.02941,28.97759,Private room,95,30,12,0.13,208
GORGEOUS BOSPHORUS VIEW! COMFY ROOM,Daniele,Beyoglu,41.03506,28.99193,Private room,237,3,10,0.13,268
Stay near Bagdat Avenue - 3BR apt,Pelin,Kadikoy,40.97543,29.06553,Entire home/apt,506,2,12,0.15,349
decent quality/price balance in Ist,Necip,Fatih,41.019,28.92851,Private room,90,20,40,0.44,89
Best location - Orange,Serkan,Beyoglu,41.02918,28.98331,Private room,148,3,52,0.58,365
Charming Delightful Studio@Centre 4,Fati,Beyoglu,41.02874,28.9766,Entire home/apt,132,2,81,0.9,217
Sultan,Mehmet Ali,Beyoglu,41.02845,28.97892,Entire home/apt,348,5,9,0.1,364
GREAT LOCATION & CLEAN&STYLISH,Shinnosuke,Beyoglu,41.03533,28.97341,Private room,121,3,14,0.16,365
We are in the center of Istanbul!,Tamer,Kadikoy,40.97136,29.10063,Private room,69,1,4,0.04,363
Harem,Mehmet Ali,Beyoglu,41.02865,28.97919,Entire home/apt,353,5,9,0.1,365
Exclusive Apart with Kitchenette,Ramiz,Fatih,41.0029,28.97787,Private room,311,1,44,0.5,346
Cozy studio apartment in Cihangir,Bilgehan,Beyoglu,41.03077,28.98118,Entire home/apt,364,7,113,1.3,304
Proper Home in Heart of Istanbul,Onur,Kadikoy,40.99574,29.02688,Entire home/apt,158,2,55,0.83,294
Nice and Clean Lovely Room Cihangir,Defne,Beyoglu,41.03073,28.98167,Private room,237,14,1,0.02,365
Cozy Room in the Heart of Kadıköy,Basak,Kadikoy,40.98598,29.02667,Private room,90,2,11,0.22,88
Comfy Furnished Room in a Cozy Home,Basak,Kadikoy,40.98627,29.02542,Private room,105,2,1,0.05,363
FLAT WITH HISTORICAL VIEW,Ahmet,Kadikoy,40.98441,29.02177,Entire home/apt,332,6,23,0.29,0
"Istiklal Avenue,Sadri alisik street",Berkan,Beyoglu,41.03433,28.98221,Entire home/apt,58,1,106,1.26,168
Avrupa Residence Suites Istanbul 1+1 80m2,Ercan,Gaziosmanpasa,41.08744,28.90203,Entire home/apt,506,2,5,0.36,365
"Apartment in Montmartre, Paris",Bahar,Beyoglu,41.03203,28.98564,Entire home/apt,295,7,1,0.01,358
CIHANGIR | Stunning Bosphorus View!,Ilker,Beyoglu,41.03297,28.98488,Entire home/apt,801,7,57,0.66,349
BLUE Mosque walking&Grand pazar مشي لكل مكان,Bãśmä,Fatih,41.01106,28.94568,Private room,100,3,211,2.58,83
Cosy Flat at the Center of ISTANBUL,Feride,Sisli,41.0613,28.99495,Entire home/apt,264,2,14,0.17,362
Bright and characterful in Galata!,Julia & Tarkan,Beyoglu,41.02625,28.97276,Entire home/apt,728,2,64,0.77,359
"Sunny Flat for Room Price, Taksim",Serkan,Sisli,41.045,28.9863,Entire home/apt,264,2,2,0.02,90
"Comfy, private room near subway",Ayla,Sisli,41.05636,28.99632,Private room,121,1,4,0.06,365
"Room minuet 2TRAM Street,Yusufpasha اتفضلوااهلاًبكم",Bãśmä,Fatih,41.01077,28.94512,Private room,90,2,150,1.73,83
Charming Delightful Studio@Centre 3,Fati,Beyoglu,41.02669,28.97594,Entire home/apt,148,2,141,1.63,365
Standard Suites,Emre,Kadikoy,40.99259,29.02534,Entire home/apt,227,1,26,0.81,276
Spacious Family Apt in Kadiköy,Emre,Kadikoy,40.99462,29.02552,Entire home/apt,385,1,8,0.28,91
1+1 65m2 Deluxe Suitler,Emre,Kadikoy,40.99295,29.02656,Entire home/apt,269,1,46,0.62,182
Terrace Bosphorus Sea View Taksim,Maria,Beyoglu,41.03392,28.98927,Entire home/apt,591,1,203,2.35,250
"Furnished luxury apartment, Galata",Zeynep,Beyoglu,41.02575,28.97364,Entire home/apt,417,3,39,0.47,346
Design chic serviced apt in Galata.,Zeynep,Beyoglu,41.02373,28.97418,Entire home/apt,417,3,22,0.27,264
Modern serviced flat in Galata,Zeynep,Beyoglu,41.02591,28.97401,Entire home/apt,475,3,45,0.55,357
Modern chic serviced apt in Galata,Zeynep,Beyoglu,41.02532,28.97303,Entire home/apt,417,2,41,0.49,346
"top location,bright & cozy 2bdr apt",Özge,Beyoglu,41.02841,28.97202,Entire home/apt,596,1,57,0.68,358
Cute room opening to garden in Moda,Asiye,Bahcelievler,41.00837,28.85343,Private room,158,5,5,0.06,365
Lovely Room at the heart of İSTANBL,Feride,Sisli,41.06208,28.99426,Private room,105,1,10,0.12,362
CENTRAL&SAFETY Location Bright Room,Feride,Sisli,41.06202,28.99549,Private room,105,2,58,0.7,362
